event_timestamp,user_id,feature_name,action_type,session_id,session_duration_sec,device_type,user_type
2026-01-08 00:24:59.937511,1456,Dashboard,download,28024,511.0,web,new
2025-12-30 10:56:59.937511,1356,Export,view,12082,71.0,web,new
2025-11-13 05:32:59.937511,3298,dashboard,download,45713,869.0,mobile,returning
2025-11-11 09:45:59.937511,4108,,click,37696,,web,new
2025-12-11 10:52:59.937511,1418,Dashboard,view,16338,,mobile,new
2025-12-29 14:58:59.937511,1511,Filter,click,46178,,web,new
2025-12-29 14:58:59.937511,1511,Filter,click,46178,,web,new
2025-12-01 13:25:59.937511,4166,Search,click,25256,1784.0,mobile,returning
2025-12-14 00:33:59.937511,1666,Search,view,23730,,web,new
2025-12-03 02:21:59.937511,1669,Filter,view,27691,1320.0,mobile,new
2025-11-13 17:41:59.937511,4297,Search,view,27546,145.0,mobile,new
2025-12-16 19:50:59.937511,4623,KPI Page,view,19363,552.0,web,returning
2025-12-19 19:29:59.937511,4677,Export,view,33723,459.0,mobile,new
2025-11-20 19:05:59.937511,1626,KPI Page,click,37666,1231.0,mobile,returning
2025-12-23 10:02:59.937511,3167,Search,download,10752,1403.0,mobile,returning
2025-12-20 09:19:59.937511,1647,Filter,click,27261,1035.0,web,returning
2025-12-27 00:34:59.937511,3494,dashboard,click,34504,1571.0,web,returning
2025-11-20 23:56:59.937511,4805,Search,view,25692,128.0,web,new
2025-11-17 02:45:59.937511,4115,Export,click,18414,,web,returning
2026-01-05 00:41:59.937511,2733,dashboard,download,23182,,mobile,returning
2025-12-27 22:13:59.937511,2849,Dashboard,click,24725,,web,new
2025-11-11 11:16:59.937511,1290,KPI Page,download,13858,478.0,web,returning
2025-12-02 11:29:59.937511,2140,KPI Page,view,24040,1114.0,mobile,new
2025-12-17 20:48:59.937511,1779,Dashboard,click,38249,,mobile,returning
2025-11-15 17:54:59.937511,3758,KPI Page,download,16449,,mobile,new
2025-11-28 03:05:59.937511,3196,Filter,click,37648,,mobile,new
2025-11-17 16:14:59.937511,2815,,download,16416,113.0,web,new
2025-12-25 00:27:59.937511,2971,dashboard,view,13842,,web,returning
2025-12-22 05:32:59.937511,2168,Filter,download,46422,,web,new
2025-11-16 03:19:59.937511,3372,KPI Page,download,13994,,web,new
2025-12-26 14:03:59.937511,4765,,download,20317,126.0,web,new
2025-12-02 05:22:59.937511,2653,Dashboard,download,26135,1195.0,web,returning
2026-01-01 06:19:59.937511,3141,Search,view,23386,,web,returning
2026-01-08 13:41:59.937511,2228,Filter,view,14754,,web,new
2025-12-26 20:41:59.937511,2086,dashboard,view,14508,,mobile,new
2025-12-30 06:14:59.937511,3881,Search,download,44664,,web,new
2025-11-20 13:23:59.937511,4040,Export,click,27848,587.0,mobile,new
2025-12-04 20:14:59.937511,3070,Filter,view,13329,,mobile,new
2025-12-04 20:14:59.937511,3070,Filter,view,13329,,mobile,new
2025-11-22 17:20:59.937511,3609,Search,click,38956,,web,new
2025-11-24 09:10:59.937511,3234,Dashboard,view,48175,1141.0,mobile,new
2025-11-24 09:10:59.937511,3234,Dashboard,view,48175,1141.0,mobile,new
